"Latitude (decimal degrees):	51.790",,,,,Effiency,0.18,,,Date,EPV (kW),G_i (kW/m)
20130124:0156,0,0,0,-1.2,3.43,0,,,,,
20130124:0256,0,0,0,-1.12,3.37,0,,,,,
20130124:0356,0,0,0,-1.05,3.32,0,,,,,
20130124:0456,0,0,0,-1.22,3.03,0,,,,,
20130124:0556,0,0,0,-1.38,2.74,0,,,,,
20130124:0656,0,0,0,-1.55,2.44,0,,,,,
20130124:0756,0,0,0,-1.84,2.83,0,,,,,
20130124:0856,13.8,59.54,6.55,-2.12,3.22,0,,,,,
20130124:0956,11.66,51.66,12.58,-2.41,3.61,0,,,,,
20130124:1056,15.88,65.8,16.8,-1.93,3.31,0,,,,,
20130124:1156,21.23,83.32,18.84,-1.44,3.02,0,,,,,
20130124:1256,22.5,87.56,18.49,-0.96,2.72,0,,,,,
20130124:1356,21.45,84.23,15.8,-0.85,2.62,0,,,,,
20130124:1456,16.63,68.67,11.02,-0.73,2.51,0,,,,,
20130124:1556,1.42,13.5,4.55,-0.62,2.41,0,,,,,
20130124:1656,0,0,0,-1.62,2.8,0,,,,,
20130124:1756,0,0,0,-2.61,3.18,0,,,,,
20130124:1856,0,0,0,-3.61,3.56,0,,,,,
20130124:1956,0,0,0,-5.12,3.2,0,,,,,
20130124:2056,0,0,0,-6.62,2.83,0,,,,,
20130124:2156,0,0,0,-8.12,2.47,0,,,,,
20130124:2256,0,0,0,-8.43,2.93,0,,,,,
20130124:2356,0,0,0,-8.73,3.4,0,,,,,
20130125:0056,0,0,0,-9.04,3.86,0,,,,,
20130125:0156,0,0,0,-7.95,3.91,0,,,,,
20130125:0256,0,0,0,-6.86,3.96,0,,,,,
20130125:0356,0,0,0,-5.77,4.01,0,,,,,
20130125:0456,0,0,0,-5.49,4.19,0,,,,,
20130125:0556,0,0,0,-5.22,4.36,0,,,,,
20130125:0656,0,0,0,-4.95,4.54,0,,,,,
20130125:0756,0,0,0,-4.33,4,0,,,,,
20130125:0856,2.51,18.16,6.73,-3.72,3.45,0,,,,,
20130125:0956,14.61,61.37,12.78,-3.1,2.91,0,,,,,
20130125:1056,13.72,58.61,17.02,-2.21,3.82,0,,,,,
20130125:1156,14.29,60.65,19.08,-1.32,4.72,0,,,,,
20130125:1256,40.78,144.56,18.74,-0.43,5.63,0,,,,,
20130125:1356,15.23,64,16.05,-0.23,5.79,0,,,,,
20130125:1456,24.18,93.25,11.26,-0.02,5.96,0,,,,,
20130125:1556,2.78,19.58,4.79,0.18,6.12,0,,,,,
20130125:1656,0,0,0,0.19,6.14,0,,,,,
20130125:1756,0,0,0,0.21,6.16,0,,,,,
20130125:1856,0,0,0,0.22,6.18,0,,,,,
20130125:1956,0,0,0,0.55,6.49,0,,,,,
20130125:2056,0,0,0,0.89,6.8,0,,,,,
20130125:2156,0,0,0,1.23,7.1,0,,,,,
20130125:2256,0,0,0,1.51,7.28,0,,,,,
20130125:2356,0,0,0,1.8,7.46,0,,,,,
20130126:0056,0,0,0,2.09,7.64,0,,,,,
20130126:0156,0,0,0,1.92,6.4,0,,,,,
20130126:0256,0,0,0,1.75,5.17,0,,,,,
20130126:0356,0,0,0,1.58,3.93,0,,,,,
20130126:0456,0,0,0,1.83,4.39,0,,,,,
20130126:0556,0,0,0,2.07,4.84,0,,,,,
20130126:0656,0,0,0,2.32,5.3,0,,,,,
20130126:0756,0,0,0,1.9,4.98,0,,,,,
20130126:0856,53.11,189.69,6.93,1.47,4.67,0,,,,,
20130126:0956,93.9,310.58,12.99,1.05,4.36,0,,,,,
20130126:1056,148.69,482.56,17.25,1.88,4.3,0,,,,,
20130126:1156,165.55,538.43,19.32,2.72,4.24,0,,,,,
20130126:1256,129.62,424.88,19,3.55,4.18,0,,,,,
20130126:1356,44.92,160.22,16.3,3.76,4.04,0,,,,,
20130126:1456,23.91,93.97,11.52,3.97,3.9,0,,,,,
20130126:1556,6.52,35.35,5.03,4.18,3.77,0,,,,,
20130126:1656,0,0,0,4.04,4.35,0,,,,,
20130126:1756,0,0,0,3.89,4.94,0,,,,,
20130126:1856,0,0,0,3.75,5.53,0,,,,,
20130126:1956,0,0,0,4.23,6.15,0,,,,,
20130126:2056,0,0,0,4.71,6.76,0,,,,,
20130126:2156,0,0,0,5.19,7.38,0,,,,,
20130126:2256,0,0,0,5.8,7.74,0,,,,,
20130126:2356,0,0,0,6.42,8.1,0,,,,,
20130127:0056,0,0,0,7.04,8.46,0,,,,,
20130127:0156,0,0,0,7.32,8.57,0,,,,,
20130127:0256,0,0,0,7.6,8.69,0,,,,,
20130127:0356,0,0,0,7.88,8.81,0,,,,,
20130127:0456,0,0,0,8,8.34,0,,,,,
20130127:0556,0,0,0,8.12,7.86,0,,,,,
20130127:0656,0,0,0,8.24,7.38,0,,,,,
20130127:0756,0,0,-0.34,7.22,7.76,0,,,,,
20130127:0856,54.05,195.68,7.12,6.21,8.14,0,,,,,
20130127:0956,114.77,379.4,13.21,5.19,8.52,0,,,,,
20130127:1056,154.23,501.98,17.49,5.58,8.48,0,,,,,
20130127:1156,171.9,558.81,19.58,5.97,8.43,0,,,,,
20130127:1256,145.86,476.78,19.26,6.36,8.39,0,,,,,
20130127:1356,138.29,454.5,16.56,6.47,8.55,0,,,,,
20130127:1456,90.92,309.85,11.77,6.58,8.71,0,,,,,
20130127:1556,27.72,114.83,5.28,6.68,8.87,0,,,,,
20130127:1656,0,0,0,6.02,8.51,0,,,,,
20130127:1756,0,0,0,5.35,8.16,0,,,,,
20130127:1856,0,0,0,4.69,7.81,0,,,,,
20130127:1956,0,0,0,4.36,7.35,0,,,,,
20130127:2056,0,0,0,4.03,6.9,0,,,,,
20130127:2156,0,0,0,3.71,6.44,0,,,,,
20130127:2256,0,0,0,3.52,6.21,0,,,,,
20130127:2356,0,0,0,3.34,5.97,0,,,,,
20130128:0056,0,0,0,3.15,5.74,0,,,,,
20130128:0156,0,0,0,3.05,5.78,0,,,,,
20130128:0256,0,0,0,2.94,5.82,0,,,,,
20130128:0356,0,0,0,2.83,5.86,0,,,,,
20130128:0456,0,0,0,2.58,5.28,0,,,,,
20130128:0556,0,0,0,2.33,4.7,0,,,,,
20130128:0656,0,0,0,2.08,4.12,0,,,,,
20130128:0756,0,0,-0.15,2.15,4.46,0,,,,,
20130128:0856,29.44,112.69,7.33,2.21,4.8,0,,,,,
20130128:0956,54.67,189.43,13.43,2.28,5.13,0,,,,,
20130128:1056,20.88,83.72,17.73,3.69,5.76,0,,,,,
20130128:1156,13.09,58.03,19.83,5.1,6.39,0,,,,,
20130128:1256,2.27,17.72,19.52,6.51,7.02,0,,,,,
20130128:1356,13.23,58.85,16.83,6.65,8.02,0,,,,,
20130128:1456,8.64,42.68,12.03,6.8,9.02,0,,,,,
20130128:1556,3.76,24.2,5.53,6.94,10.01,0,,,,,
20130128:1656,0,0,0,7.39,10.19,0,,,,,
20130128:1756,0,0,0,7.85,10.37,0,,,,,
20130128:1856,0,0,0,8.3,10.55,0,,,,,
20130128:1956,0,0,0,8.43,10.29,0,,,,,
20130128:2056,0,0,0,8.56,10.03,0,,,,,
20130128:2156,0,0,0,8.7,9.77,0,,,,,
20130128:2256,0,0,0,8.64,9.54,0,,,,,
20130128:2356,0,0,0,8.59,9.32,0,,,,,
20130129:0056,0,0,0,8.54,9.1,0,,,,,
20130129:0156,0,0,0,8.4,8.26,0,,,,,
20130129:0256,0,0,0,8.26,7.41,0,,,,,
20130129:0356,0,0,0,8.12,6.57,0,,,,,
20130129:0456,0,0,0,8.04,5.65,0,,,,,
20130129:0556,0,0,0,7.96,4.73,0,,,,,
20130129:0656,0,0,0,7.88,3.81,0,,,,,
20130129:0756,0.77,10.52,0.04,8.12,4.29,0,,,,,
20130129:0856,6.55,35.27,7.54,8.35,4.76,0,,,,,
20130129:0956,14.61,64.13,13.66,8.59,5.24,0,,,,,
20130129:1056,10.71,50.65,17.98,9.47,5.73,0,,,,,
20130129:1156,7.91,40.59,20.1,10.35,6.23,0,,,,,
20130129:1256,3.14,21.85,19.79,11.23,6.72,0,,,,,
20130129:1356,10.07,48.65,17.1,11.27,7.6,0,,,,,
20130129:1456,66.68,236.68,12.29,11.32,8.48,0,,,,,
20130129:1556,7.26,38.95,5.79,11.36,9.37,0,,,,,
20130129:1656,0,0,0,11.24,9.18,0,,,,,
20130129:1756,0,0,0,11.11,9,0,,,,,
20130129:1856,0,0,0,10.99,8.81,0,,,,,
20130129:1956,0,0,0,10.95,8.86,0,,,,,
20130129:2056,0,0,0,10.91,8.9,0,,,,,
20130129:2156,0,0,0,10.88,8.94,0,,,,,
20130129:2256,0,0,0,10.88,8.54,0,,,,,
20130129:2356,0,0,0,10.88,8.14,0,,,,,
20130130:0056,0,0,0,10.88,7.74,0,,,,,
20130130:0156,0,0,0,10.32,7.08,0,,,,,
20130130:0256,0,0,0,9.76,6.41,0,,,,,
20130130:0356,0,0,0,9.19,5.75,0,,,,,
20130130:0456,0,0,0,8.31,6.26,0,,,,,
20130130:0556,0,0,0,7.43,6.77,0,,,,,
20130130:0656,0,0,0,6.55,7.28,0,,,,,
20130130:0756,2.68,19.52,0.24,6.47,7.38,0,,,,,
20130130:0856,7.26,37.62,7.75,6.38,7.48,0,,,,,
20130130:0956,113.83,378.48,13.9,6.3,7.57,0,,,,,
20130130:1056,158.65,520.28,18.23,7.17,8.02,0,,,,,
20130130:1156,176.11,577.72,20.36,8.04,8.47,0,,,,,
20130130:1256,171.01,563.02,20.07,8.91,8.92,0,,,,,
20130130:1356,145.1,480.42,17.37,8.93,9.48,0,,,,,
20130130:1456,97.93,334.5,12.56,8.95,10.04,0,,,,,
20130130:1556,36.34,144.51,6.04,8.97,10.59,0,,,,,
20130130:1656,0,0,0,8.24,9.99,0,,,,,
20130130:1756,0,0,0,7.51,9.39,0,,,,,
20130130:1856,0,0,0,6.78,8.79,0,,,,,
20130130:1956,0,0,0,6.32,7.65,0,,,,,
20130130:2056,0,0,0,5.87,6.51,0,,,,,
20130130:2156,0,0,0,5.42,5.37,0,,,,,
20130130:2256,0,0,0,5.26,5.61,0,,,,,
20130130:2356,0,0,0,5.11,5.85,0,,,,,
20130131:0056,0,0,0,4.95,6.1,0,,,,,
20130131:0156,0,0,0,5.41,6.46,0,,,,,
20130131:0256,0,0,0,5.87,6.82,0,,,,,
20130131:0356,0,0,0,6.32,7.19,0,,,,,
20130131:0456,0,0,0,6.61,7.87,0,,,,,
20130131:0556,0,0,0,6.9,8.55,0,,,,,
20130131:0656,0,0,0,7.19,9.23,0,,,,,
20130131:0756,0,1.56,0.44,6.88,8.99,0,,,,,
20130131:0856,62.22,220.84,7.98,6.56,8.75,0,,,,,
20130131:0956,117.97,390.81,14.14,6.25,8.51,0,,,,,
20130131:1056,146.02,478.4,18.49,7.01,8.81,0,,,,,
20130131:1156,166.61,545.3,20.64,7.76,9.11,0,,,,,
20130131:1256,130.72,432.06,20.35,8.52,9.41,0,,,,,
20130131:1356,74.28,254.9,17.65,8.44,9.05,0,,,,,
20130131:1456,68.22,238.2,12.83,8.36,8.69,0,,,,,
20130131:1556,20,85.51,6.3,8.28,8.33,0,,,,,
20130131:1656,0,0,0,7.72,8.35,0,,,,,
20130131:1756,0,0,0,7.15,8.37,0,,,,,
20130131:1856,0,0,0,6.59,8.39,0,,,,,
20130131:1956,0,0,0,6.49,8.01,0,,,,,
20130131:2056,0,0,0,6.4,7.63,0,,,,,
20130131:2156,0,0,0,6.31,7.26,0,,,,,
20130131:2256,0,0,0,6.32,6.9,0,,,,,
20130131:2356,0,0,0,6.34,6.55,0,,,,,
20130201:0056,0,0,0,6.36,6.19,0,,,,,
20130201:0156,0,0,0,6.09,6.1,0,,,,,
20130201:0256,0,0,0,5.82,6,0,,,,,
20130201:0356,0,0,0,5.55,5.9,0,,,,,
20130201:0456,0,0,0,5.23,5.21,0,,,,,
20130201:0556,0,0,0,4.91,4.52,0,,,,,
20130201:0656,0,0,0,4.59,3.83,0,,,,,
20130201:0756,0,1.75,0.66,4.5,3.61,0,,,,,
20130201:0856,32.27,122.82,8.2,4.41,3.39,0,,,,,
20130201:0956,56.47,197.22,14.39,4.32,3.17,0,,,,,
20130201:1056,160.57,528.53,18.76,4.66,3.87,0,,,,,
20130201:1156,148.38,487.28,20.92,5,4.56,0,,,,,
20130201:1256,122.2,403.04,20.63,5.34,5.26,0,,,,,
20130201:1356,148.42,489.99,17.93,5.51,4.71,0,,,,,
20130201:1456,84.92,290.64,13.11,5.69,4.17,0,,,,,
20130201:1556,43.04,166.12,6.57,5.86,3.63,0,,,,,
20130201:1656,0,0,0,5.08,3.19,0,,,,,
20130201:1756,0,0,0,4.31,2.74,0,,,,,
20130201:1856,0,0,0,3.53,2.3,0,,,,,
20130201:1956,0,0,0,3.15,2.82,0,,,,,
20130201:2056,0,0,0,2.78,3.34,0,,,,,
20130201:2156,0,0,0,2.4,3.86,0,,,,,
20130201:2256,0,0,0,2.44,4.47,0,,,,,
20130201:2356,0,0,0,2.48,5.09,0,,,,,
20130202:0056,0,0,0,2.52,5.7,0,,,,,
20130202:0156,0,0,0,2.42,5.91,0,,,,,
20130202:0256,0,0,0,2.32,6.13,0,,,,,
20130202:0356,0,0,0,2.22,6.34,0,,,,,
20130202:0456,0,0,0,1.85,6.2,0,,,,,
20130202:0556,0,0,0,1.48,6.06,0,,,,,
20130202:0656,0,0,0,1.11,5.92,0,,,,,
20130202:0756,0,4.26,0.87,0.97,5.6,0,,,,,
20130202:0856,69.14,238.9,8.44,0.83,5.27,0,,,,,
20130202:0956,130.73,424.6,14.64,0.69,4.95,0,,,,,
20130202:1056,170.38,548.98,19.03,1.43,5.24,0,,,,,
20130202:1156,188.2,607.26,21.2,2.16,5.53,0,,,,,
20130202:1256,183.24,592.68,20.92,2.9,5.82,0,,,,,
20130202:1356,89.72,298.13,18.22,3.18,5.8,0,,,,,
20130202:1456,108.25,361.09,13.38,3.47,5.78,0,,,,,
20130202:1556,44.56,168.72,6.83,3.76,5.77,0,,,,,
20130202:1656,0,0,0,2.72,4.91,0,,,,,
20130202:1756,0,0,0,1.69,4.05,0,,,,,
20130202:1856,0,0,0,0.65,3.19,0,,,,,
20130202:1956,0,0,0,-0.01,2.91,0,,,,,
20130202:2056,0,0,0,-0.68,2.64,0,,,,,
20130202:2156,0,0,0,-1.34,2.37,0,,,,,
20130202:2256,0,0,0,-1.75,2.31,0,,,,,
20130202:2356,0,0,0,-2.16,2.24,0,,,,,
20130203:0056,0,0,0,-2.56,2.18,0,,,,,
20130203:0156,0,0,0,-2.22,2.51,0,,,,,
20130203:0256,0,0,0,-1.87,2.85,0,,,,,
20130203:0356,0,0,0,-1.53,3.19,0,,,,,
20130203:0456,0,0,0,-0.64,3.58,0,,,,,
20130203:0556,0,0,0,0.24,3.98,0,,,,,
20130203:0656,0,0,0,1.12,4.37,0,,,,,
20130203:0756,0,3.08,1.09,1.98,5.09,0,,,,,
20130203:0856,5.78,31.61,8.68,2.83,5.82,0,,,,,
20130203:0956,15.72,66.59,14.9,3.68,6.54,0,,,,,
20130203:1056,2.1,16.9,19.31,4.93,6.58,0,,,,,
20130203:1156,1.5,14.18,21.49,6.17,6.63,0,,,,,
20130203:1256,4.27,26.22,21.21,7.42,6.68,0,,,,,
20130203:1356,9.06,44.38,18.51,7.74,6.62,0,,,,,
20130203:1456,4.14,25.74,13.66,8.06,6.56,0,,,,,
20130203:1556,7.25,38.03,7.1,8.38,6.5,0,,,,,
20130203:1656,0,0,0,8.17,6.07,0,,,,,
20130203:1756,0,0,0,7.95,5.64,0,,,,,
20130203:1856,0,0,0,7.74,5.21,0,,,,,
20130203:1956,0,0,0,7.66,5.17,0,,,,,
20130203:2056,0,0,0,7.58,5.12,0,,,,,
20130203:2156,0,0,0,7.5,5.08,0,,,,,
20130203:2256,0,0,0,7.59,5.26,0,,,,,
20130203:2356,0,0,0,7.68,5.43,0,,,,,
20130204:0056,0,0,0,7.78,5.61,0,,,,,
20130204:0156,0,0,0,7.84,6.13,0,,,,,
20130204:0256,0,0,0,7.91,6.65,0,,,,,
20130204:0356,0,0,0,7.97,7.17,0,,,,,
20130204:0456,0,0,0,8,7.18,0,,,,,
20130204:0556,0,0,0,8.03,7.19,0,,,,,
20130204:0656,0,0,0,8.05,7.2,0,,,,,
20130204:0756,0.24,7.34,1.32,7.28,7.51,0,,,,,
20130204:0856,69.06,243.18,8.92,6.51,7.83,0,,,,,
20130204:0956,20.74,83.81,15.16,5.73,8.14,0,,,,,
20130204:1056,170.3,553.6,19.59,5.87,8.57,0,,,,,
20130204:1156,177.59,576.22,21.78,6,9,0,,,,,
20130204:1256,184.2,597.41,21.51,6.14,9.43,0,,,,,
20130204:1356,121.91,401.85,18.81,6.58,8.85,0,,,,,
20130204:1456,55.93,197.4,13.95,7.03,8.26,0,,,,,
20130204:1556,45.02,171.82,7.38,7.48,7.67,0,,,,,
20130204:1656,0,0,-0.46,6.78,7.29,0,,,,,
20130204:1756,0,0,0,6.08,6.91,0,,,,,
20130204:1856,0,0,0,5.38,6.52,0,,,,,
20130204:1956,0,0,0,5.04,6.8,0,,,,,
20130204:2056,0,0,0,4.69,7.07,0,,,,,
20130204:2156,0,0,0,4.35,7.34,0,,,,,
20130204:2256,0,0,0,3.89,7.98,0,,,,,
20130204:2356,0,0,0,3.42,8.63,0,,,,,
20130205:0056,0,0,0,2.96,9.27,0,,,,,
20130205:0156,0,0,0,2.34,8.64,0,,,,,
20130205:0256,0,0,0,1.72,8.02,0,,,,,
20130205:0356,0,0,0,1.1,7.39,0,,,,,
20130205:0456,0,0,0,0.65,7.11,0,,,,,
20130205:0556,0,0,0,0.2,6.82,0,,,,,
20130205:0656,0,0,0,-0.25,6.54,0,,,,,
20130205:0756,0.64,9.57,1.56,-0.19,6.36,0,,,,,
20130205:0856,74.7,254.44,9.17,-0.13,6.19,0,,,,,
20130205:0956,118.28,382.47,15.43,-0.08,6.01,0,,,,,
20130205:1056,177.47,566.34,19.87,0.52,6.56,0,,,,,
20130205:1156,149.21,477.49,22.08,1.13,7.11,0,,,,,
20130205:1256,70.55,236.82,21.82,1.73,7.66,0,,,,,
20130205:1356,24.61,95.24,19.1,2.42,7.85,0,,,,,
20130205:1456,13.25,58.12,14.24,3.11,8.05,0,,,,,
20130205:1556,7.27,37.34,7.65,3.8,8.25,0,,,,,
20130205:1656,0,0,-0.2,3.4,8.2,0,,,,,
20130205:1756,0,0,0,3.01,8.16,0,,,,,
20130205:1856,0,0,0,2.61,8.11,0,,,,,
20130205:1956,0,0,0,2.91,7.96,0,,,,,
20130205:2056,0,0,0,3.21,7.81,0,,,,,
20130205:2156,0,0,0,3.51,7.66,0,,,,,
20130205:2256,0,0,0,3.55,7.57,0,,,,,
20130205:2356,0,0,0,3.58,7.48,0,,,,,
20130206:0056,0,0,0,3.62,7.39,0,,,,,
20130206:0156,0,0,0,3.42,7.28,0,,,,,
20130206:0256,0,0,0,3.22,7.17,0,,,,,
20130206:0356,0,0,0,3.02,7.06,0,,,,,
20130206:0456,0,0,0,2.95,7.05,0,,,,,
20130206:0556,0,0,0,2.87,7.04,0,,,,,
20130206:0656,0,0,0,2.79,7.03,0,,,,,
20130206:0756,0.89,10.97,1.79,2.64,6.83,0,,,,,
20130206:0856,62.19,216.75,9.43,2.49,6.62,0,,,,,
20130206:0956,9.33,44.43,15.71,2.33,6.41,0,,,,,
20130206:1056,88.78,293.63,20.17,2.82,7.16,0,,,,,
20130206:1156,68.26,231.33,22.39,3.31,7.91,0,,,,,
20130206:1256,166.64,536.38,22.12,3.8,8.66,0,,,,,
20130206:1356,38.5,139.83,19.4,3.95,8.59,0,,,,,
20130206:1456,59.62,206.32,14.53,4.1,8.51,0,,,,,
20130206:1556,50.89,188.34,7.93,4.25,8.44,0,,,,,
20130206:1656,3.65,23.36,0.07,3.59,7.89,0,,,,,
20130206:1756,0,0,0,2.92,7.34,0,,,,,
20130206:1856,0,0,0,2.26,6.79,0,,,,,
20130206:1956,0,0,0,1.8,6.42,0,,,,,
20130206:2056,0,0,0,1.33,6.05,0,,,,,
20130206:2156,0,0,0,0.87,5.68,0,,,,,
20130206:2256,0,0,0,0.67,5.5,0,,,,,
20130206:2356,0,0,0,0.47,5.32,0,,,,,
20130207:0056,0,0,0,0.27,5.14,0,,,,,
20130207:0156,0,0,0,0.04,5.01,0,,,,,
20130207:0256,0,0,0,-0.19,4.88,0,,,,,
20130207:0356,0,0,0,-0.42,4.74,0,,,,,
20130207:0456,0,0,0,-0.64,4.43,0,,,,,
20130207:0556,0,0,0,-0.87,4.11,0,,,,,
20130207:0656,0,0,0,-1.1,3.79,0,,,,,
20130207:0756,0,4.18,2.04,-0.76,3.95,0,,,,,
20130207:0856,10.6,48.43,9.69,-0.43,4.11,0,,,,,
20130207:0956,78.39,260.41,15.99,-0.1,4.26,0,,,,,
20130207:1056,129.2,418.5,20.46,1.14,4.56,0,,,,,
20130207:1156,29.04,109.6,22.69,2.39,4.86,0,,,,,
20130207:1256,37,135.39,22.43,3.63,5.16,0,,,,,
20130207:1356,42.19,151.62,19.71,3.64,4.87,0,,,,,
20130207:1456,55.09,192.58,14.82,3.65,4.59,0,,,,,
20130207:1556,14.98,65.01,8.2,3.66,4.3,0,,,,,
20130207:1656,3.62,23.22,0.33,2.98,3.65,0,,,,,
20130207:1756,0,0,0,2.29,2.99,0,,,,,
20130207:1856,0,0,0,1.61,2.33,0,,,,,
20130207:1956,0,0,0,1.29,2.36,0,,,,,
20130207:2056,0,0,0,0.96,2.39,0,,,,,
20130207:2156,0,0,0,0.64,2.41,0,,,,,
20130207:2256,0,0,0,0.56,2.7,0,,,,,
20130207:2356,0,0,0,0.47,2.99,0,,,,,
20130208:0056,0,0,0,0.39,3.28,0,,,,,
20130208:0156,0,0,0,0.01,3.35,0,,,,,
20130208:0256,0,0,0,-0.37,3.42,0,,,,,
20130208:0356,0,0,0,-0.75,3.49,0,,,,,
20130208:0456,0,0,0,-0.76,3.41,0,,,,,
20130208:0556,0,0,0,-0.77,3.33,0,,,,,
20130208:0656,0,0,0,-0.78,3.26,0,,,,,
20130208:0756,1.67,14.66,2.29,-0.43,3.11,0,,,,,
20130208:0856,77.54,264.55,9.96,-0.08,2.97,0,,,,,
20130208:0956,102.86,338.16,16.27,0.27,2.83,0,,,,,
20130208:1056,134.39,437.76,20.76,1.46,3.31,0,,,,,
20130208:1156,78.04,262.42,23.01,2.65,3.8,0,,,,,
20130208:1256,58.84,203.91,22.75,3.84,4.29,0,,,,,
20130208:1356,54.94,191.76,20.02,4.05,4.5,0,,,,,
20130208:1456,29.25,111.08,15.11,4.26,4.7,0,,,,,
20130208:1556,47.7,177.36,8.49,4.47,4.91,0,,,,,
20130208:1656,0,2.72,0.6,3.65,4.4,0,,,,,
20130208:1756,0,0,0,2.83,3.9,0,,,,,
20130208:1856,0,0,0,2.01,3.39,0,,,,,
20130208:1956,0,0,0,1.69,3.47,0,,,,,
20130208:2056,0,0,0,1.38,3.54,0,,,,,
20130208:2156,0,0,0,1.06,3.61,0,,,,,
20130208:2256,0,0,0,1.14,3.36,0,,,,,
20130208:2356,0,0,0,1.22,3.11,0,,,,,
20130209:0056,0,0,0,1.31,2.86,0,,,,,
20130209:0156,0,0,0,1.27,2.74,0,,,,,
20130209:0256,0,0,0,1.24,2.63,0,,,,,
20130209:0356,0,0,0,1.2,2.51,0,,,,,
20130209:0456,0,0,0,0.97,2.11,0,,,,,
20130209:0556,0,0,0,0.74,1.72,0,,,,,
20130209:0656,0,0,0,0.51,1.32,0,,,,,
20130209:0756,0.6,9.45,2.54,0.91,1.42,0,,,,,
20130209:0856,12.65,55.9,10.23,1.3,1.52,0,,,,,
20130209:0956,12.21,54.43,16.56,1.69,1.61,0,,,,,
20130209:1056,33.81,125.05,21.07,2.3,2.11,0,,,,,
20130209:1156,11.66,52.73,23.33,2.9,2.6,0,,,,,
20130209:1256,38.89,141.64,23.07,3.51,3.09,0,,,,,
20130209:1356,26.72,102.72,20.33,3.28,2.91,0,,,,,
20130209:1456,15.14,64.63,15.41,3.05,2.73,0,,,,,
20130209:1556,7.04,36.32,8.77,2.82,2.55,0,,,,,
20130209:1656,0,1.55,0.87,2.62,2.46,0,,,,,
20130209:1756,0,0,0,2.41,2.38,0,,,,,
20130209:1856,0,0,0,2.21,2.29,0,,,,,
20130209:1956,0,0,0,2.09,2.15,0,,,,,
20130209:2056,0,0,0,1.96,2,0,,,,,
20130209:2156,0,0,0,1.84,1.86,0,,,,,
20130209:2256,0,0,0,2.04,1.89,0,,,,,
20130209:2356,0,0,0,2.24,1.91,0,,,,,
20130210:0056,0,0,0,2.44,1.93,0,,,,,
20130210:0156,0,0,0,2.44,2.17,0,,,,,
20130210:0256,0,0,0,2.43,2.42,0,,,,,
20130210:0356,0,0,0,2.43,2.66,0,,,,,
20130210:0456,0,0,0,2.58,2.88,0,,,,,
20130210:0556,0,0,0,2.73,3.09,0,,,,,
20130210:0656,0,0,0,2.88,3.31,0,,,,,
20130210:0756,1.23,12.98,2.8,3.13,3.49,0,,,,,
20130210:0856,8.22,40.69,10.5,3.38,3.66,0,,,,,
20130210:0956,5.62,31.13,16.86,3.63,3.83,0,,,,,
20130210:1056,18.38,75.56,21.38,3.7,4.45,0,,,,,
20130210:1156,22.48,89.01,23.65,3.77,5.06,0,,,,,
20130210:1256,34.11,126.32,23.39,3.84,5.67,0,,,,,
20130210:1356,36.66,134.01,20.64,3.38,6.06,0,,,,,
20130210:1456,8.83,42.78,15.71,2.93,6.44,0,,,,,
20130210:1556,2.81,19.81,9.05,2.48,6.83,0,,,,,
20130210:1656,0,0.63,1.14,2.51,6.53,0,,,,,
20130210:1756,0,0,0,2.55,6.24,0,,,,,
20130210:1856,0,0,0,2.58,5.94,0,,,,,
20130210:1956,0,0,0,2.44,5.86,0,,,,,
20130210:2056,0,0,0,2.31,5.78,0,,,,,
20130210:2156,0,0,0,2.17,5.7,0,,,,,
20130210:2256,0,0,0,1.98,5.28,0,,,,,
20130210:2356,0,0,0,1.79,4.86,0,,,,,
20130211:0056,0,0,0,1.61,4.44,0,,,,,
20130211:0156,0,0,0,1.32,4.26,0,,,,,
20130211:0256,0,0,0,1.03,4.08,0,,,,,
20130211:0356,0,0,0,0.74,3.9,0,,,,,
20130211:0456,0,0,0,0.5,3.85,0,,,,,
20130211:0556,0,0,0,0.26,3.79,0,,,,,
20130211:0656,0,0,0,0.01,3.74,0,,,,,
20130211:0756,2.14,17.24,3.07,-0.03,3.96,0,,,,,
20130211:0856,4.72,27.29,10.78,-0.07,4.18,0,,,,,
20130211:0956,40.28,143.4,17.15,-0.12,4.4,0,,,,,
20130211:1056,35.96,130.35,21.7,0.21,4.43,0,,,,,
20130211:1156,26.67,101.29,23.97,0.54,4.46,0,,,,,
20130211:1256,67.02,226.43,23.72,0.87,4.48,0,,,,,
20130211:1356,28.05,105.86,20.96,0.95,4.45,0,,,,,
20130211:1456,16.94,70.02,16.02,1.04,4.42,0,,,,,
20130211:1556,7.93,39.32,9.34,1.13,4.39,0,,,,,
20130211:1656,0.31,7.67,1.41,0.85,4.09,0,,,,,
20130211:1756,0,0,0,0.57,3.79,0,,,,,
20130211:1856,0,0,0,0.29,3.49,0,,,,,
20130211:1956,0,0,0,0.15,3.45,0,,,,,
20130211:2056,0,0,0,0,3.42,0,,,,,
20130211:2156,0,0,0,-0.14,3.38,0,,,,,
20130211:2256,0,0,0,-0.11,3.34,0,,,,,
20130211:2356,0,0,0,-0.08,3.31,0,,,,,
20130212:0056,0,0,0,-0.04,3.27,0,,,,,
20130212:0156,0,0,0,-0.21,3.18,0,,,,,
20130212:0256,0,0,0,-0.37,3.09,0,,,,,
20130212:0356,0,0,0,-0.54,2.99,0,,,,,
